# ta-tb(ns)	counts	error
-3828706.187500	0	0.000000
-3828706.062500	2	1.414214
-3828705.937500	2	1.414214
-3828705.812500	0	0.000000
-3828705.687500	0	0.000000
-3828705.562500	0	0.000000
-3828705.437500	0	0.000000
-3828705.312500	0	0.000000
-3828705.187500	0	0.000000
-3828705.062500	0	0.000000
-3828704.937500	0	0.000000
-3828704.812500	1	1.000000
-3828704.687500	0	0.000000
-3828704.562500	0	0.000000
-3828704.437500	0	0.000000
-3828704.312500	0	0.000000
-3828704.187500	0	0.000000
-3828704.062500	0	0.000000
-3828703.937500	0	0.000000
-3828703.812500	0	0.000000
-3828703.687500	1	1.000000
-3828703.562500	0	0.000000
-3828703.437500	0	0.000000
-3828703.312500	0	0.000000
-3828703.187500	0	0.000000
-3828703.062500	1	1.000000
-3828702.937500	0	0.000000
-3828702.812500	1	1.000000
-3828702.687500	0	0.000000
-3828702.562500	0	0.000000
-3828702.437500	0	0.000000
-3828702.312500	0	0.000000
-3828702.187500	0	0.000000
-3828702.062500	0	0.000000
-3828701.937500	1	1.000000
-3828701.812500	0	0.000000
-3828701.687500	0	0.000000
-3828701.562500	0	0.000000
-3828701.437500	0	0.000000
-3828701.312500	0	0.000000
-3828701.187500	0	0.000000
-3828701.062500	0	0.000000
-3828700.937500	0	0.000000
-3828700.812500	0	0.000000
-3828700.687500	0	0.000000
-3828700.562500	1	1.000000
-3828700.437500	0	0.000000
-3828700.312500	0	0.000000
-3828700.187500	0	0.000000
-3828700.062500	0	0.000000
-3828699.937500	0	0.000000
-3828699.812500	0	0.000000
-3828699.687500	0	0.000000
-3828699.562500	0	0.000000
-3828699.437500	0	0.000000
-3828699.312500	0	0.000000
-3828699.187500	0	0.000000
-3828699.062500	0	0.000000
-3828698.937500	0	0.000000
-3828698.812500	0	0.000000
-3828698.687500	0	0.000000
-3828698.562500	0	0.000000
-3828698.437500	0	0.000000
-3828698.312500	0	0.000000
-3828698.187500	0	0.000000
-3828698.062500	0	0.000000
-3828697.937500	0	0.000000
-3828697.812500	0	0.000000
-3828697.687500	0	0.000000
-3828697.562500	0	0.000000
-3828697.437500	1	1.000000
-3828697.312500	0	0.000000
-3828697.187500	1	1.000000
-3828697.062500	0	0.000000
-3828696.937500	0	0.000000
-3828696.812500	1	1.000000
-3828696.687500	0	0.000000
-3828696.562500	0	0.000000
-3828696.437500	0	0.000000
-3828696.312500	1	1.000000
-3828696.187500	0	0.000000
-3828696.062500	0	0.000000
-3828695.937500	0	0.000000
-3828695.812500	0	0.000000
-3828695.687500	0	0.000000
-3828695.562500	0	0.000000
-3828695.437500	0	0.000000
-3828695.312500	1	1.000000
-3828695.187500	0	0.000000
-3828695.062500	0	0.000000
-3828694.937500	0	0.000000
-3828694.812500	0	0.000000
-3828694.687500	1	1.000000
-3828694.562500	0	0.000000
-3828694.437500	0	0.000000
-3828694.312500	0	0.000000
-3828694.187500	0	0.000000
-3828694.062500	0	0.000000
-3828693.937500	0	0.000000
-3828693.812500	0	0.000000
-3828693.687500	0	0.000000
-3828693.562500	0	0.000000
-3828693.437500	0	0.000000
-3828693.312500	0	0.000000
-3828693.187500	0	0.000000
-3828693.062500	0	0.000000
-3828692.937500	1	1.000000
-3828692.812500	0	0.000000
-3828692.687500	0	0.000000
-3828692.562500	0	0.000000
-3828692.437500	0	0.000000
-3828692.312500	0	0.000000
-3828692.187500	0	0.000000
-3828692.062500	1	1.000000
-3828691.937500	0	0.000000
-3828691.812500	0	0.000000
-3828691.687500	0	0.000000
-3828691.562500	1	1.000000
-3828691.437500	0	0.000000
-3828691.312500	0	0.000000
-3828691.187500	0	0.000000
-3828691.062500	1	1.000000
-3828690.937500	0	0.000000
-3828690.812500	0	0.000000
-3828690.687500	0	0.000000
-3828690.562500	0	0.000000
-3828690.437500	0	0.000000
-3828690.312500	0	0.000000
-3828690.187500	0	0.000000
-3828690.062500	0	0.000000
-3828689.937500	0	0.000000
-3828689.812500	0	0.000000
-3828689.687500	0	0.000000
-3828689.562500	0	0.000000
-3828689.437500	0	0.000000
-3828689.312500	0	0.000000
-3828689.187500	0	0.000000
-3828689.062500	0	0.000000
-3828688.937500	0	0.000000
-3828688.812500	1	1.000000
-3828688.687500	0	0.000000
-3828688.562500	0	0.000000
-3828688.437500	0	0.000000
-3828688.312500	0	0.000000
-3828688.187500	0	0.000000
-3828688.062500	1	1.000000
-3828687.937500	0	0.000000
-3828687.812500	0	0.000000
-3828687.687500	0	0.000000
-3828687.562500	1	1.000000
-3828687.437500	0	0.000000
-3828687.312500	1	1.000000
-3828687.187500	1	1.000000
-3828687.062500	1	1.000000
-3828686.937500	0	0.000000
-3828686.812500	0	0.000000
-3828686.687500	0	0.000000
-3828686.562500	1	1.000000
-3828686.437500	0	0.000000
-3828686.312500	0	0.000000
-3828686.187500	0	0.000000
-3828686.062500	0	0.000000
-3828685.937500	0	0.000000
-3828685.812500	0	0.000000
-3828685.687500	0	0.000000
-3828685.562500	0	0.000000
-3828685.437500	2	1.414214
-3828685.312500	0	0.000000
-3828685.187500	0	0.000000
-3828685.062500	0	0.000000
-3828684.937500	0	0.000000
-3828684.812500	0	0.000000
-3828684.687500	1	1.000000
-3828684.562500	0	0.000000
-3828684.437500	0	0.000000
-3828684.312500	0	0.000000
-3828684.187500	0	0.000000
-3828684.062500	0	0.000000
